event_date,sender,rolling_7day_count
2023-02-03,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,432046
2023-02-11,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,454721
2023-02-17,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,360145
2023-02-24,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,330994
2023-03-21,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,382161
2023-04-23,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,822134
2023-01-08,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,212091
2023-02-19,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,359465
2023-04-10,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,359285
2023-04-18,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,478952
2023-01-20,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,152618
2023-02-04,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,449969
2023-02-16,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,366741
2023-03-18,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,361188
2023-03-28,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,366368
2023-03-30,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,362807
2023-04-21,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,721562
2023-04-29,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,720654
2023-01-02,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,48199
2023-01-13,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,208482
2023-03-11,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,416400
2023-04-09,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,361503
2023-04-15,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,340910
2023-04-19,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,581563
2023-04-30,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,761270
2023-01-23,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,207263
2023-02-08,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,504429
2023-02-28,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,319441
2023-03-05,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,398505
2023-03-06,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,418624
2023-03-10,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,439802
2023-03-27,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,370535
2023-04-17,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,399442
2023-04-20,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,674041
2023-04-26,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,830160
2023-01-03,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,78763
2023-01-26,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,330997
2023-01-30,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,363181
2023-02-10,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,476895
2023-03-15,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,363670
2023-03-16,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,364038
2023-04-25,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,868235
2023-01-05,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,137770
2023-02-06,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,476207
2023-03-12,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,400427
2023-04-01,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,364113
2023-04-08,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,367967
2023-01-22,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,166784
2023-03-22,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,384415
2023-03-24,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,373995
2023-04-28,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,717900
2023-01-01,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,20789
2023-01-09,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,219151
2023-01-24,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,250902
2023-02-23,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,342821
2023-02-26,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,321031
2023-03-07,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,440123
2023-03-19,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,370314
2023-03-31,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,366486
2023-04-02,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,367449
2023-04-13,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,337732
2023-04-27,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,761883
2023-01-06,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,164346
2023-01-18,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,203817
2023-02-01,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,385910
2023-02-02,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,408952
2023-02-12,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,438100
2023-02-21,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,355981
2023-03-17,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,362915
2023-03-20,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,378548
2023-04-24,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,867762
2023-01-04,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,109483
2023-01-10,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,218245
2023-01-15,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,207873
2023-02-09,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,495138
2023-02-15,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,376936
2023-02-25,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,325616
2023-03-04,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,378616
2023-03-08,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,445803
2023-03-14,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,380349
2023-04-04,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,374715
2023-04-12,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,343413
2023-04-14,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,338832
2023-01-25,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,293733
2023-01-27,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,334916
2023-02-20,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,355300
2023-02-27,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,312269
2023-03-01,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,327646
2023-04-07,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,371757
2023-04-16,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,349941
