period_start,token_symbol,token_name,address,total_transfer_amount
2023-02-27T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,33762633095161883.900000000000000000
2023-01-02T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,1281000000000000000.000000000000000000
2023-01-16T00:00:00.000Z,��️ ²,VE RI TAS ²,0xd376109e525ed2fc03160457316486902b638080,10000000000010626526.673950033000000000
2023-03-06T00:00:00.000Z,SHIK,SHIKOKU INU,0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,9759896090167416.156364267168242699
2023-04-03T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,23430331769783144.000000000000000000
2023-04-10T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,45400000000000000000.000000000000000000
2023-01-23T00:00:00.000Z,LZÓ,Lazarióus,0x53eb33df5c3ff890e07894d61635d05ac9e75d6a,10000400000045648515.345046256282000000
2022-12-26T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,193372057807402000.000000000000000000
2023-04-24T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,831594395000000000.000000000000000000
2023-02-06T00:00:00.000Z,NFT,NETFIX,0xca9f540bf621f3072469c2c3f70f6d45194e9693,99999999000000000000.000000000000000000
2023-03-13T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,13080971818348734.000000000000000000
2023-03-27T00:00:00.000Z,UCoin,UCoin,0xa918897bd10d6dee614470c24a061b78b021b3a9,3254005197227480631.000000000000000000
2023-02-20T00:00:00.000Z,SHINTO,The Kami Shinto,0x51ba075966e920c52ac2795e4205432277d64167,839814400000000000.000000000000000000
2023-01-09T00:00:00.000Z,키,The Ɏakimo,0x7a290cca270f06a392b97cf35ab735e58534cf05,1000000000010759394.176813809000000000
2023-03-20T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,4001000000000000000.000000000000000000
2023-04-17T00:00:00.000Z,,,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,8417920772757767755.600000000000000000
2023-02-13T00:00:00.000Z,ゑ,Senseito,0x7f3ec02f0c7ecf6d5e1ea2b60ba229d15bafae21,1000000000023082541.980867533000000000
2023-01-30T00:00:00.000Z,TiTy,Tiny Tyrant,0xf77329be3737c77488d77b618db19038fcab4890,10000000000002581684.186830157000000000
